"UniqueID","start.time","Area","Vtot","Tcham","Pcham"
"2 10.5 stem 1",2023-07-18 11:46:45,210,0.859,20.8,101.7
"2 10.5 stem 2",2023-07-18 12:00:00,210,0.859,20.7,101.6
"2 10.5 leaf 1",2023-07-18 12:09:00,428.837777777778,0.859,20.8,101.7
"2 10.5 leaf 2",2023-07-18 12:27:00,428.837777777778,0.859,20.8,101.6
"2 11.7 stem 1",2023-07-18 12:56:15,210,0.859,21,101.7
"2 11.7 stem 2",2023-07-18 13:07:00,210,0.859,21,101.7
"2 11.7 leaf 1",2023-07-18 13:15:00,428.837777777778,0.859,21.2,101.7
"2 11.7 leaf 2",2023-07-18 13:24:00,428.837777777778,0.859,21.7,101.7
"2 11.7 leaf_s 1",2023-07-18 13:28:30,428.837777777778,0.859,21.7,101.7
"2 9.1 branch 1",2023-07-18 13:52:15,38,0.219,22.2,101.7
"2 9.1 leaf 1",2023-07-18 14:01:30,428.837777777778,0.859,22.9,101.7
"2 7 leaf 1",2023-07-18 14:14:30,428.837777777778,0.859,23.3,101.7
"2 1.7 stem 1",2023-07-18 15:18:15,210,0.859,25.4,101.7
"2 1.25 stem 1",2023-07-18 15:21:00,210,0.859,25.4,101.7
"2 0.5 stem 1",2023-07-18 15:24:00,210,0.859,25.8,101.7
"4 14.2 leaf 1",2023-07-19 10:41:00,194.96,0.859,17,101.6
"4 12 leaf 1",2023-07-19 11:21:00,194.96,0.859,16.8,101.6
"4 9.1 stem 1",2023-07-19 12:07:00,210,0.859,17.5,101.7
"4 9.1 stem 2",2023-07-19 12:20:00,210,0.859,18,101.7
"4 5.6 stem 1",2023-07-19 12:28:30,210,0.859,18.4,101.7
"4 5.6 stem 2",2023-07-19 12:37:00,446,2.399,18.4,101.7
"4 3 stem 1",2023-07-19 12:50:00,446,2.399,18.6,101.7
"5 2 stem 1",2023-07-19 15:28:00,446,2.399,22.2,101.8
"5 1 stem 1",2023-07-19 15:58:00,446,2.399,22.4,101.8
"5 1 stem 2",2023-07-19 16:10:30,446,2.399,23,101.8
"5 0.5 stem 1",2023-07-19 16:23:30,446,2.399,22.9,101.8
